image,trialnum,condition,word,location,repetition
M.png,1,S,1,1,1
K.png,2,S,1,2,1
B.png,3,S,1,3,1
A.png,4,S,2,1,1
J.png,5,S,2,2,1
F.png,6,S,2,3,1
D.png,7,S,3,1,1
G.png,8,S,3,2,1
C.png,9,S,3,3,1
M.png,10,S,1,1,2
K.png,11,S,1,2,2
B.png,12,S,1,3,2
E.png,13,S,4,1,1
L.png,14,S,4,2,1
H.png,15,S,4,3,1
A.png,16,S,2,1,2
J.png,17,S,2,2,2
F.png,18,S,2,3,2
D.png,19,S,3,1,2
G.png,20,S,3,2,2
C.png,21,S,3,3,2
M.png,22,S,1,1,3
K.png,23,S,1,2,3
B.png,24,S,1,3,3
E.png,25,S,4,1,2
L.png,26,S,4,2,2
H.png,27,S,4,3,2
A.png,28,S,2,1,3
J.png,29,S,2,2,3
F.png,30,S,2,3,3
E.png,31,S,4,1,3
L.png,32,S,4,2,3
H.png,33,S,4,3,3
D.png,34,S,3,1,3
G.png,35,S,3,2,3
C.png,36,S,3,3,3
M.png,37,S,1,1,4
K.png,38,S,1,2,4
B.png,39,S,1,3,4
D.png,40,S,3,1,4
G.png,41,S,3,2,4
C.png,42,S,3,3,4
M.png,43,S,1,1,5
K.png,44,S,1,2,5
B.png,45,S,1,3,5
E.png,46,S,4,1,4
L.png,47,S,4,2,4
H.png,48,S,4,3,4
