"","ans","subj","key","trial_order","corr"
"1","2","blast_c_002",1,1,0
"2","1","blast_c_002",1,2,1
"3","2","blast_c_002",1,3,0
"4","2","blast_c_002",1,4,0
"5","1","blast_c_002",1,5,1
"6","2","blast_c_002",1,6,0
"7","2","blast_c_002",1,7,0
"8","1","blast_c_002",1,8,1
"9","1","blast_c_002",1,9,1
"10","2","blast_c_002",1,10,0
"11","2","blast_c_002",1,11,0
"12","1","blast_c_002",1,12,1
"13","2","blast_c_002",1,13,0
"14","1","blast_c_002",1,14,1
"15","2","blast_c_002",1,15,0
"16","2","blast_c_002",1,16,0
"17","1","blast_c_002",2,17,0
"18","1","blast_c_002",2,18,0
"19","2","blast_c_002",2,19,1
"20","1","blast_c_002",2,20,0
"21","2","blast_c_002",2,21,1
"22","1","blast_c_002",2,22,0
"23","2","blast_c_002",2,23,1
"24","1","blast_c_002",2,24,0
"25","2","blast_c_002",2,25,1
"26","1","blast_c_002",2,26,0
"27","2","blast_c_002",2,27,1
"28","2","blast_c_002",2,28,1
"29","1","blast_c_002",2,29,0
"30","2","blast_c_002",2,30,1
"31","2","blast_c_002",2,31,1
"32","1","blast_c_002",2,32,0
"33","2","blast_c_009",1,1,0
"34","1","blast_c_009",1,2,1
"35","1","blast_c_009",1,3,1
"36","1","blast_c_009",1,4,1
"37","1","blast_c_009",1,5,1
"38","1","blast_c_009",1,6,1
"39","1","blast_c_009",1,7,1
"40","1","blast_c_009",1,8,1
"41","2","blast_c_009",1,9,0
"42","1","blast_c_009",1,10,1
"43","1","blast_c_009",1,11,1
"44","1","blast_c_009",1,12,1
"45","2","blast_c_009",1,13,0
"46","1","blast_c_009",1,14,1
"47","1","blast_c_009",1,15,1
"48","1","blast_c_009",1,16,1
"49","1","blast_c_009",2,17,0
"50","2","blast_c_009",2,18,1
"51","2","blast_c_009",2,19,1
"52","2","blast_c_009",2,20,1
"53","2","blast_c_009",2,21,1
"54","2","blast_c_009",2,22,1
"55","2","blast_c_009",2,23,1
"56","2","blast_c_009",2,24,1
"57","1","blast_c_009",2,25,0
"58","2","blast_c_009",2,26,1
"59","2","blast_c_009",2,27,1
"60","2","blast_c_009",2,28,1
"61","2","blast_c_009",2,29,1
"62","2","blast_c_009",2,30,1
"63","2","blast_c_009",2,31,1
"64","2","blast_c_009",2,32,1
"65","1","blast_c_019",1,1,1
"66","1","blast_c_019",1,2,1
"67","2","blast_c_019",1,3,0
"68","2","blast_c_019",1,4,0
"69","2","blast_c_019",1,5,0
"70","1","blast_c_019",1,6,1
"71","2","blast_c_019",1,7,0
"72","1","blast_c_019",1,8,1
"73","2","blast_c_019",1,9,0
"74","1","blast_c_019",1,10,1
"75","1","blast_c_019",1,11,1
"76","1","blast_c_019",1,12,1
"77","2","blast_c_019",1,13,0
"78","1","blast_c_019",1,14,1
"79","1","blast_c_019",1,15,1
"80","1","blast_c_019",1,16,1
"81","2","blast_c_019",2,17,1
"82","1","blast_c_019",2,18,0
"83","1","blast_c_019",2,19,0
"84","2","blast_c_019",2,20,1
"85","2","blast_c_019",2,21,1
"86","1","blast_c_019",2,22,0
"87","2","blast_c_019",2,23,1
"88","2","blast_c_019",2,24,1
"89","1","blast_c_019",2,25,0
"90","1","blast_c_019",2,26,0
"91","2","blast_c_019",2,27,1
"92","1","blast_c_019",2,28,0
"93","2","blast_c_019",2,29,1
"94","1","blast_c_019",2,30,0
"95","1","blast_c_019",2,31,0
"96","2","blast_c_019",2,32,1
"97","1","blast_c_028",1,1,1
"98","2","blast_c_028",1,2,0
"99","1","blast_c_028",1,3,1
"100","2","blast_c_028",1,4,0
"101","1","blast_c_028",1,5,1
"102","2","blast_c_028",1,6,0
"103","1","blast_c_028",1,7,1
"104","2","blast_c_028",1,8,0
"105","1","blast_c_028",1,9,1
"106","2","blast_c_028",1,10,0
"107","2","blast_c_028",1,11,0
"108","1","blast_c_028",1,12,1
"109","2","blast_c_028",1,13,0
"110","1","blast_c_028",1,14,1
"111","2","blast_c_028",1,15,0
"112","1","blast_c_028",1,16,1
"113","2","blast_c_028",2,17,1
"114","1","blast_c_028",2,18,0
"115","2","blast_c_028",2,19,1
"116","1","blast_c_028",2,20,0
"117","2","blast_c_028",2,21,1
"118","1","blast_c_028",2,22,0
"119","2","blast_c_028",2,23,1
"120","1","blast_c_028",2,24,0
"121","2","blast_c_028",2,25,1
"122","1","blast_c_028",2,26,0
"123","1","blast_c_028",2,27,0
"124","2","blast_c_028",2,28,1
"125","1","blast_c_028",2,29,0
"126","2","blast_c_028",2,30,1
"127","1","blast_c_028",2,31,0
"128","2","blast_c_028",2,32,1
"129","2","blast_c_034",1,1,0
"130","1","blast_c_034",1,2,1
"131","1","blast_c_034",1,3,1
"132","2","blast_c_034",1,4,0
"133","1","blast_c_034",1,5,1
"134","2","blast_c_034",1,6,0
"135","1","blast_c_034",1,7,1
"136","1","blast_c_034",1,8,1
"137","2","blast_c_034",1,9,0
"138","1","blast_c_034",1,10,1
"139","2","blast_c_034",1,11,0
"140","1","blast_c_034",1,12,1
"141","2","blast_c_034",1,13,0
"142","1","blast_c_034",1,14,1
"143","1","blast_c_034",1,15,1
"144","1","blast_c_034",1,16,1
"145","2","blast_c_034",2,17,1
"146","2","blast_c_034",2,18,1
"147","1","blast_c_034",2,19,0
"148","2","blast_c_034",2,20,1
"149","2","blast_c_034",2,21,1
"150","2","blast_c_034",2,22,1
"151","1","blast_c_034",2,23,0
"152","2","blast_c_034",2,24,1
"153","1","blast_c_034",2,25,0
"154","2","blast_c_034",2,26,1
"155","1","blast_c_034",2,27,0
"156","2","blast_c_034",2,28,1
"157","1","blast_c_034",2,29,0
"158","2","blast_c_034",2,30,1
"159","2","blast_c_034",2,31,1
"160","1","blast_c_034",2,32,0
"161","1","blast_c_036",1,1,1
"162","1","blast_c_036",1,2,1
"163","1","blast_c_036",1,3,1
"164","1","blast_c_036",1,4,1
"165","2","blast_c_036",1,5,0
"166","1","blast_c_036",1,6,1
"167","1","blast_c_036",1,7,1
"168","1","blast_c_036",1,8,1
"169","2","blast_c_036",1,9,0
"170","1","blast_c_036",1,10,1
"171","1","blast_c_036",1,11,1
"172","2","blast_c_036",1,12,0
"173","2","blast_c_036",1,13,0
"174","1","blast_c_036",1,14,1
"175","2","blast_c_036",1,15,0
"176","1","blast_c_036",1,16,1
"177","2","blast_c_036",2,17,1
"178","2","blast_c_036",2,18,1
"179","2","blast_c_036",2,19,1
"180","2","blast_c_036",2,20,1
"181","1","blast_c_036",2,21,0
"182","1","blast_c_036",2,22,0
"183","1","blast_c_036",2,23,0
"184","1","blast_c_036",2,24,0
"185","1","blast_c_036",2,25,0
"186","1","blast_c_036",2,26,0
"187","1","blast_c_036",2,27,0
"188","1","blast_c_036",2,28,0
"189","2","blast_c_036",2,29,1
"190","2","blast_c_036",2,30,1
"191","2","blast_c_036",2,31,1
"192","2","blast_c_036",2,32,1
"193","2","blast_c_038",1,1,0
"194","2","blast_c_038",1,2,0
"195","1","blast_c_038",1,3,1
"196","2","blast_c_038",1,4,0
"197","2","blast_c_038",1,5,0
"198","1","blast_c_038",1,6,1
"199","1","blast_c_038",1,7,1
"200","2","blast_c_038",1,8,0
"201","2","blast_c_038",1,9,0
"202","2","blast_c_038",1,10,0
"203","2","blast_c_038",1,11,0
"204","1","blast_c_038",1,12,1
"205","2","blast_c_038",1,13,0
"206","1","blast_c_038",1,14,1
"207","2","blast_c_038",1,15,0
"208","2","blast_c_038",1,16,0
"209","1","blast_c_038",2,17,0
"210","2","blast_c_038",2,18,1
"211","1","blast_c_038",2,19,0
"212","2","blast_c_038",2,20,1
"213","1","blast_c_038",2,21,0
"214","1","blast_c_038",2,22,0
"215","1","blast_c_038",2,23,0
"216","2","blast_c_038",2,24,1
