"","par_id","mean_rt","scaled_rt_slope"
"1","blast_c_002","691.238","0.038"
"2","blast_c_009","526.5","0.055"
"3","blast_c_019","722.933","0.046"
"4","blast_c_028","722.045","0.073"
"5","blast_c_034","773.429","0.038"
"6","blast_c_036","347.474","0.053"
"7","blast_c_038","412.565","-0.082"
"8","blast_c_045","402.542","-0.02"
"9","blast_c_059","465","0.039"
"10","blast_c_061","608.955","-0.031"
"11","blast_c_071","456.125","-0.047"
"12","blast_c_073","576.286","0.065"
"13","blast_c_085","663.5","-0.01"
"14","blast_c_088","594.857","-0.063"
"15","blast_c_092","590.696","-0.058"
"16","blast_c_095","486.739","0.04"
"17","blast_c_096","537.364","0.042"
"18","blast_c_097","433.136","-0.011"
"19","blast_c_101","586.708","0.03"
"20","blast_c_109","553","0.032"
"21","blast_c_118","486.435","-0.009"
"22","blast_c_122","682.727","0.016"
"23","blast_c_124","484.625","0.056"
"24","blast_c_147","541.045","-0.025"
"25","blast_c_149","738.773","-0.038"
"26","blast_c_150","556.783","-0.003"
"27","blast_c_164","757.619","0.032"
"28","blast_c_165","418.227","-0.019"
"29","blast_c_168","491.957","0.058"
"30","blast_c_186","572.75","0.006"
"31","blast_c_193","262.875","-0.062"
"32","blast_c_204","756.609","-0.021"
"33","blast_c_206","508.522","0.03"
"34","blast_c_209","504.444","0.001"
"35","blast_c_210","537.909","0.016"
"36","blast_c_211","654.429","-0.052"
"37","blast_c_213","470.125","-0.023"
"38","blast_c_216","709.773","0.034"
"39","blast_c_220","387.792","-0.062"
"40","blast_c_224","607","0.074"
"41","blast_c_231","676.417","0.022"
"42","blast_c_232","318.583","-0.059"
"43","blast_c_233","213.917","-0.056"
"44","blast_c_265","612.25","0.016"
"45","blast_c_267","643.375","-0.044"
"46","blast_c_268","640.545","-0.049"
"47","blast_c_406","701.182","0.004"
"48","blast_c_409","576.917","-0.006"
"49","blast_c_410","583.583","0.021"
"50","blast_c_420","596.143","0.019"
"51","blast_c_423","262.619","0.043"
"52","blast_c_426","259.609","0.007"
"53","blast_c_427","303.125","-0.06"
"54","blast_c_428","613.5","0.059"
"55","blast_c_429","503.174","0.007"
"56","blast_c_438","634.125","-0.027"
"57","blast_c_439","698.417","0.039"
"58","blast_c_440","681.944","0.01"
"59","blast_c_444","415.217","0.024"
"60","blast_c_449","673.208","0.009"
"61","blast_c_450","468.833","0.029"
"62","blast_c_451","337.458","-0.092"
"63","blast_c_454","675.952","0.055"
"64","blast_c_457","701","-0.046"
"65","blast_c_461","525.364","-0.02"
"66","blast_c_462","657.905","-0.033"
"67","blast_c_467","678.409","-0.015"
"68","blast_c_468","276.9","-0.04"
"69","blast_c_469","763.15","0.037"
"70","blast_c_470","707.583","0.007"
"71","blast_c_475","536.609","0.045"
"72","blast_c_476","345.5","0.02"
