"","par_id","mean_rt","scaled_rt_slope","d_prime","this_targets","hits","hit_rate","misses","miss_rate","corr_rej","corr_rej_rate","false_alarms","false_alarm_rate","distractors","total_disc","resp_acc","total_stimuli"
"1","blast_c_002","691.238","0.038","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"2","blast_c_009","526.5","0.055","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"3","blast_c_019","722.933","0.046","NaN","24","15","1","0","0","0","NaN","0","NaN","0","15","0.312","286"
"4","blast_c_028","722.045","0.073","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"5","blast_c_034","773.429","0.038","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"6","blast_c_036","347.474","0.053","NaN","24","19","1","0","0","0","NaN","0","NaN","0","19","0.396","286"
"7","blast_c_038","412.565","-0.082","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"8","blast_c_045","402.542","-0.02","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"9","blast_c_059","465","0.039","NaN","24","20","1","0","0","0","NaN","0","NaN","0","20","0.417","286"
"10","blast_c_061","608.955","-0.031","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"11","blast_c_071","456.125","-0.047","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"12","blast_c_073","576.286","0.065","NaN","24","14","1","0","0","0","NaN","0","NaN","0","14","0.292","286"
"13","blast_c_085","663.5","-0.01","NaN","24","8","1","0","0","0","NaN","0","NaN","0","8","0.167","286"
"14","blast_c_088","594.857","-0.063","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"15","blast_c_092","590.696","-0.058","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"16","blast_c_095","486.739","0.04","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"17","blast_c_096","537.364","0.042","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"18","blast_c_097","433.136","-0.011","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"19","blast_c_101","586.708","0.03","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"20","blast_c_109","553","0.032","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"21","blast_c_118","486.435","-0.009","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"22","blast_c_122","682.727","0.016","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"23","blast_c_124","484.625","0.056","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"24","blast_c_147","541.045","-0.025","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"25","blast_c_149","738.773","-0.038","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"26","blast_c_150","556.783","-0.003","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"27","blast_c_164","757.619","0.032","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"28","blast_c_165","418.227","-0.019","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"29","blast_c_168","491.957","0.058","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"30","blast_c_186","572.75","0.006","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"31","blast_c_193","262.875","-0.062","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"32","blast_c_204","756.609","-0.021","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"33","blast_c_206","508.522","0.03","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"34","blast_c_209","504.444","0.001","NaN","24","9","1","0","0","0","NaN","0","NaN","0","9","0.188","286"
"35","blast_c_210","537.909","0.016","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"36","blast_c_211","654.429","-0.052","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"37","blast_c_213","470.125","-0.023","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"38","blast_c_216","709.773","0.034","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"39","blast_c_220","387.792","-0.062","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"40","blast_c_224","607","0.074","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"41","blast_c_231","676.417","0.022","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"42","blast_c_232","318.583","-0.059","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"43","blast_c_233","213.917","-0.056","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"44","blast_c_265","612.25","0.016","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"45","blast_c_267","643.375","-0.044","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"46","blast_c_268","640.545","-0.049","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"47","blast_c_406","701.182","0.004","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"48","blast_c_409","576.917","-0.006","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"49","blast_c_410","583.583","0.021","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"50","blast_c_420","596.143","0.019","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"51","blast_c_423","262.619","0.043","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"52","blast_c_426","259.609","0.007","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"53","blast_c_427","303.125","-0.06","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"54","blast_c_428","613.5","0.059","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"55","blast_c_429","503.174","0.007","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"56","blast_c_438","634.125","-0.027","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"57","blast_c_439","698.417","0.039","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"58","blast_c_440","681.944","0.01","NaN","24","18","1","0","0","0","NaN","0","NaN","0","18","0.375","286"
"59","blast_c_444","415.217","0.024","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"60","blast_c_449","673.208","0.009","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"61","blast_c_450","468.833","0.029","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"62","blast_c_451","337.458","-0.092","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"63","blast_c_454","675.952","0.055","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"64","blast_c_456","289.952","-0.012","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"65","blast_c_457","701","-0.046","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"66","blast_c_461","525.364","-0.02","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"67","blast_c_462","657.905","-0.033","NaN","24","21","1","0","0","0","NaN","0","NaN","0","21","0.438","286"
"68","blast_c_467","678.409","-0.015","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"69","blast_c_468","276.9","-0.04","NaN","24","20","1","0","0","0","NaN","0","NaN","0","20","0.417","286"
"70","blast_c_469","763.15","0.037","NaN","24","20","1","0","0","0","NaN","0","NaN","0","20","0.417","286"
"71","blast_c_470","707.583","0.007","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"72","blast_c_471","189.5","0.049","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"73","blast_c_475","536.609","0.045","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"74","blast_c_476","345.5","0.02","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"75","blast_c_478","586.13","0.033","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"76","blast_c_479","711.5","0.064","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"77","blast_c_481","682.261","0.06","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"78","blast_c_483","589.087","0","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"79","blast_c_484","307.375","-0.027","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"80","blast_c_485","247","too few hits","NaN","24","1","1","0","0","0","NaN","0","NaN","0","1","0.021","286"
"81","blast_c_487","671.522","0.071","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"82","blast_c_488","489.318","-0.027","NaN","24","22","1","0","0","0","NaN","0","NaN","0","22","0.458","286"
"83","blast_c_491","443.435","-0.037","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"84","blast_c_492","707.522","0.054","NaN","24","23","1","0","0","0","NaN","0","NaN","0","23","0.479","286"
"85","blast_c_493","579.316","-0.007","NaN","24","19","1","0","0","0","NaN","0","NaN","0","19","0.396","286"
"86","blast_c_497","581.167","0.003","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
"87","blast_c_498","544.889","-0.089","NaN","24","18","1","0","0","0","NaN","0","NaN","0","18","0.375","286"
"88","blast_c_499","411.708","-0.023","NaN","24","24","1","0","0","0","NaN","0","NaN","0","24","0.5","286"
