"","part_id","hit_trial_number"
"1","blast_c_002",23
"2","blast_c_019",40
"3","blast_c_028",16
"4","blast_c_034",20
"5","blast_c_036",39
"6","blast_c_038",29
"7","blast_c_045",45
"8","blast_c_059",16
"9","blast_c_061",32
"10","blast_c_071",36
"11","blast_c_073",12
"12","blast_c_081",0
"13","blast_c_085",28
"14","blast_c_088",25
"15","blast_c_092",28
"16","blast_c_095",34
"17","blast_c_096",19
"18","blast_c_097",23
"19","blast_c_109",40
"20","blast_c_121",12
"21","blast_c_124",44
"22","blast_c_147",28
"23","blast_c_149",10
"24","blast_c_150",38
"25","blast_c_165",26
"26","blast_c_168",37
"27","blast_c_186",30
"28","blast_c_193",33
"29","blast_c_204",13
"30","blast_c_206",41
"31","blast_c_207",27
"32","blast_c_209",22
"33","blast_c_210",7
"34","blast_c_213",39
"35","blast_c_216",35
"36","blast_c_220",45
"37","blast_c_224",36
"38","blast_c_231",28
"39","blast_c_232",40
"40","blast_c_233",40
"41","blast_c_265",35
"42","blast_c_267",29
"43","blast_c_268",31
"44","blast_c_406",31
"45","blast_c_409",18
"46","blast_c_410",23
"47","blast_c_420",44
"48","blast_c_421",23
"49","blast_c_423",8
"50","blast_c_426",26
"51","blast_c_428",39
"52","blast_c_429",18
"53","blast_c_438",36
"54","blast_c_439",31
"55","blast_c_440",39
"56","blast_c_444",19
"57","blast_c_449",20
"58","blast_c_450",31
"59","blast_c_451",44
"60","blast_c_454",29
"61","blast_c_456",18
"62","blast_c_457",40
"63","blast_c_462",12
"64","blast_c_467",27
"65","blast_c_470",16
"66","blast_c_471",36
"67","blast_c_475",19
"68","blast_c_478",17
"69","blast_c_479",33
"70","blast_c_483",10
"71","blast_c_484",26
"72","blast_c_485",15
"73","blast_c_487",17
"74","blast_c_488",33
"75","blast_c_491",17
"76","blast_c_492",14
"77","blast_c_493",25
"78","blast_c_497",35
"79","blast_c_498",40
"80","spoli_c_008",12
"81","spoli_c_019",34
"82","spoli_c_049",2
"83","spoli_c_054",43
"84","spoli_c_071",44
"85","spoli_c_076",31
"86","spoli_c_078",39
"87","spoli_c_088",30
"88","spoli_c_093",20
"89","spoli_c_097",28
"90","spoli_c_125",6
"91","spoli_c_126",15
"92","spoli_c_379",7
"93","spoli_c_391",30
"94","spoli_c_396",33
"95","spoli_c_409",26
"96","spoli_c_410",26
"97","spoli_c_419",4
"98","spoli_c_439",32
"99","spoli_c_444",32
"100","spoli_c_447",34
"101","spoli_c_448",21
"102","spoli_c_450",30
"103","spoli_c_451",48
"104","spoli_c_452",30
"105","spoli_c_487",36
"106","spoli_c_491",44
"107","spoli_c_494",23
"108","spoli_c_500",35
"109","spoli_c_501",27
"110","spoli_c_508",22
"111","spoli_c_521",1
"112","spoli_c_537",26
"113","spoli_c_565",22
"114","spoli_c_608",15
"115","spoli_c_617",19
"116","spoli_c_640",22
"117","spoli_c_644",16
"118","spoli_c_647",3
"119","spoli_c_651",2
"120","spoli_c_677",42
"121","spoli_c_697",46
"122","spoli_c_705",11
"123","spoli_c_715",37
"124","spoli_c_730",38
"125","spoli_c_740",36
"126","spoli_c_743",17
"127","spoli_c_751",36
"128","spoli_c_760",23
"129","spoli_c_768",35
"130","spoli_c_777",33
"131","blast_a_001",33
"132","blast_a_002",39
"133","blast_a_003",44
"134","blast_a_004",45
"135","blast_a_005",37
"136","blast_a_006",44
"137","blast_a_007",43
"138","blast_a_008",30
"139","blast_a_009",23
"140","blast_a_010",46
"141","blast_a_011",39
"142","blast_a_013",34
"143","blast_a_014",5
"144","blast_a_015",46
"145","blast_a_016",23
"146","blast_a_017",43
"147","blast_a_018",47
"148","blast_a_019",42
"149","blast_a_021",44
"150","blast_a_022",46
"151","blast_a_023",46
"152","blast_a_024",43
"153","blast_a_025",0
"154","blast_a_026",40
"155","blast_a_028",45
"156","blast_a_030",43
"157","blast_a_032",26
"158","blast_a_035",43
"159","blast_a_037",43
"160","blast_a_038",46
"161","blast_a_039",17
"162","blast_a_040",38
"163","blast_a_041",38
"164","blast_a_042",42
"165","blast_a_043",46
"166","blast_a_044",37
"167","blast_a_045",47
"168","blast_a_046",41
"169","blast_a_047",37
"170","blast_a_048",34
"171","blast_a_049",44
"172","blast_a_050",45
"173","blast_a_051",44
"174","blast_a_052",41
